,Commodity,Time,Country,Customs Value (Gen) ($US),Customs  Value (Cons) ($US),Dutiable Value ($US),Calculated Duty ($US),Customs Value (Cons) ($US),code,year,month
32225,4412310660 Plywd Face Birch Outer Trpcl Only Wd Sheets Nesoi (m3),January 2018,China,25360,,0,0,0,4412310660,2018,January
32226,4412310660 Plywd Face Birch Outer Trpcl Only Wd Sheets Nesoi (m3),March 2018,China,46938,,0,0,0,4412310660,2018,March
32227,4412310660 Plywd Face Birch Outer Trpcl Only Wd Sheets Nesoi (m3),April 2018,China,46938,,0,0,0,4412310660,2018,April
32235,"4412314155 Plywd Panels Outr Ply Spec Trop Wd,lt= 3.6MM Nesoi (m3)",December 2018,China,173252,,0,0,0,4412314155,2018,December
32237,"4412314160 Plywd Outr Ply Spec Trp Wd, Lt 6mm Thk,nt Surf Cov (m3)",February 2018,China,110618,,0,0,0,4412314160,2018,February
32238,"4412314160 Plywd Outr Ply Spec Trp Wd, Lt 6mm Thk,nt Surf Cov (m3)",March 2018,China,19853,,0,0,0,4412314160,2018,March
32240,"4412314160 Plywd Outr Ply Spec Trp Wd, Lt 6mm Thk,nt Surf Cov (m3)",May 2018,China,583690,,0,0,0,4412314160,2018,May
32241,"4412314160 Plywd Outr Ply Spec Trp Wd, Lt 6mm Thk,nt Surf Cov (m3)",June 2018,China,398475,,0,0,0,4412314160,2018,June
32243,"4412314165 Plywd Outr Ply Spec Trp Wd, Lt 6mm Thk,nt Surf Cov (m3)",September 2018,China,216954,,0,0,0,4412314165,2018,September
32244,"4412314165 Plywd Outr Ply Spec Trp Wd, Lt 6mm Thk,nt Surf Cov (m3)",November 2018,China,20647,,0,0,0,4412314165,2018,November
32290,"4412316100 Plywd Out Ply Spec Trop Wd,sheets Wd Only,nesoi (m3)",July 2018,China,101028,,0,0,0,4412316100,2018,July
33593,4421998027 Clothespins Spring-type Wd Ov $.80 Nt Ov $1.35 Gr (grs),February 2018,China,7295,,0,0,0,4421998027,2018,February
33597,4421998027 Clothespins Spring-type Wd Ov $.80 Nt Ov $1.35 Gr (grs),October 2018,China,14113,,0,0,0,4421998027,2018,October
33599,4421998030 Clothespins Spring-type Wd Ov $1.35 Nt Ov $1.70 Gr (grs),February 2018,China,4368,,0,0,0,4421998030,2018,February
33600,4421998030 Clothespins Spring-type Wd Ov $1.35 Nt Ov $1.70 Gr (grs),June 2018,China,4956,,0,0,0,4421998030,2018,June
33619,"4421998500 Clothespins, Of Wood, Nesoi (grs)",February 2018,China,19112,,0,0,0,4421998500,2018,February
33727,4503103000 Cork/stoppers Nat Cork Tapered Ov 19mm Max Diametr (kg),October 2018,China,4858,,0,0,0,4503103000,2018,October
33728,4503103000 Cork/stoppers Nat Cork Tapered Ov 19mm Max Diametr (kg),December 2018,China,2091,,0,0,0,4503103000,2018,December
38154,"5208324040 Pln Wv,dyd,&gt;=85% Cot,&gt;100g/m2,#(43-68), Sheeting (m2)",October 2018,China,264,,0,0,0,5208324040,2018,October
38592,5208591000 Wv Fb Ct &gt;= 85% Wgt Ct &lt;200g/m2 Prtd 3/4 Twl (m2),April 2018,China,5279,,0,0,0,5208591000,2018,April
38595,5208591000 Wv Fb Ct &gt;= 85% Wgt Ct &lt;200g/m2 Prtd 3/4 Twl (m2),July 2018,China,10315,,0,0,0,5208591000,2018,July
38603,"5208592025 Wv Fb Gt=85% Cot,lt=200g/m2, Printed Sateens, Oth (m2)",April 2018,China,2772,,0,0,0,5208592025,2018,April
38687,"5209110035 Wov Fab,gt= 85%cot, Gt 200g/m2,sht-nt Npd,oth (m2)",September 2018,China,1048,,0,0,0,5209110035,2018,September
39349,5210396090 Wv Fb Cot Lt 85%wgt Lt 200g/m2 43-68 Oxf Clt Dyed (m2),March 2018,China,6051,,0,0,0,5210396090,2018,March
39352,5210396090 Wv Fb Cot Lt 85%wgt Lt 200g/m2 43-68 Oxf Clt Dyed (m2),June 2018,China,67189,,0,0,0,5210396090,2018,June
39437,5210516040 Wv Fb Ct &lt;85% Wgt Ct &lt;200g/m2 Prtd #43-68 Sheet (m2),April 2018,China,1798,,0,0,0,5210516040,2018,April
