,Commodity,Time,Country,Customs Value (Gen) ($US),Customs  Value (Cons) ($US),Dutiable Value ($US),Calculated Duty ($US),Customs Value (Cons) ($US),code,year,month
73572,"6907231011 Unglzd Cermc Tile, 30 Cm Or Less, H20 Ab Over 10% (m2)",November 2018,China,0,"2,640",2640,264,2640,6907231011,2018,November
73581,"6907231051 Unglzd Cermc Tile,h20 Abs Exceeding 10%, Other (m2)",August 2018,China,0,"8,462",8462,847,8462,6907231051,2018,August
77790,7202800000 Ferrotungsten And Ferrosilicon Tungsten (kg),July 2018,China,0,"303,404",303404,16991,303404,7202800000,2018,July
77840,7204100000 Cast Iron Waste And Scrap (t),January 2018,China,0,"20,290",0,0,20290,7204100000,2018,January
77841,7204100000 Cast Iron Waste And Scrap (t),February 2018,China,0,"23,971",0,0,23971,7204100000,2018,February
77842,7204100000 Cast Iron Waste And Scrap (t),March 2018,China,0,"23,792",0,0,23792,7204100000,2018,March
77843,7204100000 Cast Iron Waste And Scrap (t),April 2018,China,0,"33,342",0,0,33342,7204100000,2018,April
77844,7204100000 Cast Iron Waste And Scrap (t),May 2018,China,0,"30,306",0,0,30306,7204100000,2018,May
77845,7204100000 Cast Iron Waste And Scrap (t),June 2018,China,0,"10,057",0,0,10057,7204100000,2018,June
77860,7204290000 Alloy Steel Waste And Scrap Not Stainless (t),February 2018,China,0,"6,904",0,0,6904,7204290000,2018,February
77862,7204290000 Alloy Steel Waste And Scrap Not Stainless (t),April 2018,China,0,"29,509",0,0,29509,7204290000,2018,April
77864,7204290000 Alloy Steel Waste And Scrap Not Stainless (t),June 2018,China,0,"7,378",0,0,7378,7204290000,2018,June
77871,"7204410080 Shvngs,chps,mill Wste,swdst,flngs,trm,stmpngs Scrp (t)",February 2018,China,0,"2,993",0,0,2993,7204410080,2018,February
77872,"7204410080 Shvngs,chps,mill Wste,swdst,flngs,trm,stmpngs Scrp (t)",March 2018,China,0,"11,448",0,0,11448,7204410080,2018,March
78154,"7212600000 Flt-rld Ios Na, Lt 600mm, Clad, Nesoi (kg)",September 2018,China,0,"185,433",185433,46359,185433,7212600000,2018,September
78513,"7217108020 Rnd Wire Iron/stl Nt Plt(.25-.6%carb), Not Heated (kg)",August 2018,China,0,"3,211",3211,803,3211,7217108020,2018,August
79879,"7302101025 Rails, New, Iron/steel, Not Heat-treated, Nesoi (kg)",October 2018,China,0,"52,840",52840,0,52840,7302101025,2018,October
79881,"7302101025 Rails, New, Iron/steel, Not Heat-treated, Nesoi (kg)",December 2018,China,0,"93,239",93239,23310,93239,7302101025,2018,December
80154,"7304295015 Tubing,sm,oil/gas,irn/stl,diam Gt 114.3,lt=9.5mm (kg)",September 2018,China,0,"19,979",19979,4995,19979,7304295015,2018,September
80235,"7304390020 Tube,pipe,profil,smls,irn/stl,nesoi,diam Lt 38.1mm (kg)",March 2018,China,0,"1,160,995",0,0,1160995,7304390020,2018,March
80297,"7304390048 Pipes,smls,i/s,nesoi,diam,190.5-285.8,wal Lt12.7mm (kg)",March 2018,China,0,"85,787",0,0,85787,7304390048,2018,March
80678,7304907000 Tubes Etc Smls Nes Noncirc Cs 4mm Thck Or Ls Alstl (kg),August 2018,China,0,"5,391",5391,1348,5391,7304907000,2018,August
80720,7305316010 Tubes/pipes ss Lng Weld Cir X-sec Gt 406.4mm Nesoi (kg),March 2018,China,0,"688,528",0,0,688528,7305316010,2018,March
80985,7306405062 Oth ss T/p/hp ccs Wl 1.65 Ao Thk Od Nov 114.3 Etc (kg),March 2018,China,0,"292,950",0,0,292950,7306405062,2018,March
85140,7409115050 Ref Cu Sht Strp Plt Un5mm Th A Un 500 mm Wide Coil (kg),March 2018,China,0,"163,595",163595,1636,163595,7409115050,2018,March
87291,7901110000 Zinc Unwrt Nt Aly Cnt Wgt At Lst 99.99 Percnt Zinc (kg),March 2018,China,0,"751,035",751035,11266,751035,7901110000,2018,March
87292,7901110000 Zinc Unwrt Nt Aly Cnt Wgt At Lst 99.99 Percnt Zinc (kg),April 2018,China,0,"825,256",825256,12379,825256,7901110000,2018,April
87293,7901110000 Zinc Unwrt Nt Aly Cnt Wgt At Lst 99.99 Percnt Zinc (kg),May 2018,China,0,"2,909,819",2909819,43647,2909819,7901110000,2018,May
87294,7901110000 Zinc Unwrt Nt Aly Cnt Wgt At Lst 99.99 Percnt Zinc (kg),June 2018,China,0,"409,563",409563,6143,409563,7901110000,2018,June
87295,7901110000 Zinc Unwrt Nt Aly Cnt Wgt At Lst 99.99 Percnt Zinc (kg),July 2018,China,0,"407,313",407313,6110,407313,7901110000,2018,July
87296,7901110000 Zinc Unwrt Nt Aly Cnt Wgt At Lst 99.99 Percnt Zinc (kg),August 2018,China,0,"473,874",473874,7108,473874,7901110000,2018,August
87297,7901110000 Zinc Unwrt Nt Aly Cnt Wgt At Lst 99.99 Percnt Zinc (kg),September 2018,China,0,"3,168,406",3168406,47526,3168406,7901110000,2018,September
87298,7901110000 Zinc Unwrt Nt Aly Cnt Wgt At Lst 99.99 Percnt Zinc (kg),October 2018,China,0,"3,379,647",3379647,50695,3379647,7901110000,2018,October
87299,7901110000 Zinc Unwrt Nt Aly Cnt Wgt At Lst 99.99 Percnt Zinc (kg),November 2018,China,0,"186,818",186818,2802,186818,7901110000,2018,November
88051,"8112927000 Vanadium, In Powder & Oth Unwrgt Forms, Nt Wst&scp (kg)",February 2018,China,0,"8,784",8784,176,8784,8112927000,2018,February
91303,8402900010 Heat Exchangers (t),September 2018,China,0,"8,940",8940,2619,8940,8402900010,2018,September
91459,"8407290010 Spk-ign Rec Or Rot Int Com Pst Eng,mar,in/outboard (no)",January 2018,China,0,"947,045",0,0,947045,8407290010,2018,January
91460,"8407290010 Spk-ign Rec Or Rot Int Com Pst Eng,mar,in/outboard (no)",February 2018,China,0,"986,337",0,0,986337,8407290010,2018,February
91462,"8407290010 Spk-ign Rec Or Rot Int Com Pst Eng,mar,in/outboard (no)",April 2018,China,0,"1,060,375",0,0,1060375,8407290010,2018,April
91463,"8407290010 Spk-ign Rec Or Rot Int Com Pst Eng,mar,in/outboard (no)",May 2018,China,0,"697,153",0,0,697153,8407290010,2018,May
91464,"8407290010 Spk-ign Rec Or Rot Int Com Pst Eng,mar,in/outboard (no)",June 2018,China,0,"547,465",0,0,547465,8407290010,2018,June
91465,"8407290010 Spk-ign Rec Or Rot Int Com Pst Eng,mar,in/outboard (no)",July 2018,China,0,"80,184",0,0,80184,8407290010,2018,July
91467,"8407290040 Spk-ign Rec Or Rot Int Com Pst Eng,mari, In/inbord (no)",January 2018,China,0,"19,306",0,0,19306,8407290040,2018,January
91468,"8407290040 Spk-ign Rec Or Rot Int Com Pst Eng,mari, In/inbord (no)",February 2018,China,0,"30,460",0,0,30460,8407290040,2018,February
91469,"8407290040 Spk-ign Rec Or Rot Int Com Pst Eng,mari, In/inbord (no)",March 2018,China,0,"27,451",0,0,27451,8407290040,2018,March
91470,"8407290040 Spk-ign Rec Or Rot Int Com Pst Eng,mari, In/inbord (no)",April 2018,China,0,"39,574",0,0,39574,8407290040,2018,April
91471,"8407290040 Spk-ign Rec Or Rot Int Com Pst Eng,mari, In/inbord (no)",May 2018,China,0,"16,846",0,0,16846,8407290040,2018,May
91472,"8407290040 Spk-ign Rec Or Rot Int Com Pst Eng,mari, In/inbord (no)",June 2018,China,0,"19,711",0,0,19711,8407290040,2018,June
